ANNEE,ID_TMS,"Type de mission",COD_MSN,Mission,COD_PGM,Programme,"code action",action,"code sous-action","sous action"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",04,"Action sociale et formation",02,"Formation et recrutement"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",04,"Action sociale et formation",07,"Action sociale : partenariat social"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",04,"Action sociale et formation",08,"Action sociale : insertion des personnes handicapées"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",04,"Action sociale et formation",09,"Action sociale : professionnels de soutien"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",04,"Action sociale et formation",10,"Action sociale : missions transversales"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",05,"Affaires immobilières",01,"Immobilier de l'administration centrale : fonctionnement courant"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",05,"Affaires immobilières",06,"Immobilier de l'administration centrale : sécurité des biens et des personnes"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",05,"Affaires immobilières",07,"Immobilier de l'administration centrale : pérennité du patrimoine et travaux de rénovation"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",05,"Affaires immobilières",08,"Immobilier de l'administration centrale : rationalisation des implantations"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",05,"Affaires immobilières",10,"Action sociale : immobilier"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",05,"Affaires immobilières",11,"Services zonaux des systèmes d'information et de communication : immobilier"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",06,"Affaires juridiques et contentieuses",01,"Refus de concours de la force publique : règlements amiables"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",06,"Affaires juridiques et contentieuses",02,"Refus de concours de la force publique : contentieux"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",06,"Affaires juridiques et contentieuses",03,"Attroupements : règlements amiables"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",06,"Affaires juridiques et contentieuses",04,"Attroupements : contentieux"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",06,"Affaires juridiques et contentieuses",05,"Autres mises en cause de l'Etat : règlements amiables"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",06,"Affaires juridiques et contentieuses",06,"Autres mises en cause de l'Etat : contentieux"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",06,"Affaires juridiques et contentieuses",07,"Accidents de la circulation : règlements amiables"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",06,"Affaires juridiques et contentieuses",08,"Accidents de la circulation : contentieux"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",06,"Affaires juridiques et contentieuses",09,"Protection juridique"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",06,"Affaires juridiques et contentieuses",10,"Litiges intervenant dans le cadre du droit des étrangers : règlements amiables"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",06,"Affaires juridiques et contentieuses",11,"Litiges intervenant dans le cadre du droit des étrangers : règlements contentieux"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",08,"Immigration, asile et intégration",01,"Secrétariat général à l'immigration et à l'intégration"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",216,"Conduite et pilotage des politiques de l'intérieur",99,"Dépenses de personnel du programme à reventiler",,
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",01,"Financement des partis",,
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",02,"Organisation des élections",01,"Elections présidentielles"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",02,"Organisation des élections",02,"Elections législatives générales"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",02,"Organisation des élections",03,"Elections des représentants au Parlement européen"
