Gestion;2015;;;;;;;;
Type Budget;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2014;AEPLF; CPLF 2014; CPPLF
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;31;Majoration des rentes mutualistes des anciens combattants et victimes de guerre;255 000 000;258 300 000;255 000 000;258 300 000
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;32;Subventions aux associations et oeuvres diverses;769 000;260 000;769 000;260 000
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;33;Indemnités, pécules et frais de voyages sur les tombes;110 000;110 000;110 000;110 000
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;34;Action sociale en faveur du monde combattant : Office national des anciens combattants (ONAC);21 900 000;23 400 000;21 900 000;23 400 000
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;35;Office national des anciens combattants (ONAC) : subventions;57 473 494;57 703 582;57 473 494;57 703 582
Anciens combattants, mémoire et liens avec la nation;169;3;Solidarité;36;Institution nationale des invalides : subventions;12 089 143;12 089 143;12 089 143;12 089 143
Anciens combattants, mémoire et liens avec la nation;169;7;Actions en faveur des rapatriés;0;Institution nationale des invalides : subventions;17 800 000;19 400 000;17 800 000;19 400 000
Conseil et contrôle de l'État;126;1;Représentation des activités économiques et sociales;0;Institution nationale des invalides : subventions;27 331 624;26 136 551;27 331 624;26 136 551
Conseil et contrôle de l'État;126;2;Fonctionnement de l'institution;0;Institution nationale des invalides : subventions;14 143 128;9 605 691;9 993 128;9 610 691
Conseil et contrôle de l'État;126;3;Communication et international;0;Institution nationale des invalides : subventions;1 175 246;2 612 756;1 175 246;2 612 756
Conseil et contrôle de l'État;164;21;Examen des comptes publics;0;Institution nationale des invalides : subventions;39 411 568;39 667 618;39 411 568;39 667 618
Conseil et contrôle de l'État;164;22;Contrôle des finances publiques;0;Institution nationale des invalides : subventions;15 877 306;15 783 300;15 877 306;15 783 300
Conseil et contrôle de l'État;164;23;Contrôle des gestions publiques;0;Institution nationale des invalides : subventions;60 051 215;59 348 903;60 051 215;59 348 903
Conseil et contrôle de l'État;164;24;Evaluation des politiques publiques;0;Institution nationale des invalides : subventions;34 641 782;34 566 324;34 641 782;34 566 324
Conseil et contrôle de l'État;164;25;Information des citoyens;0;Institution nationale des invalides : subventions;7 337 030;7 164 114;7 337 030;7 164 114
Conseil et contrôle de l'État;164;26;Mise en jeu de la responsabilité des comptables publics et des gestionnaires publics;0;Institution nationale des invalides : subventions;4 707 640;4 669 182;4 707 640;4 669 182
Conseil et contrôle de l'État;164;27;Pilotage et soutien des juridictions financières;0;Institution nationale des invalides : subventions;53 054 223;51 941 168;54 393 682;53 271 168
Conseil et contrôle de l'État;165;1;Fonction juridictionnelle : Conseil d'État;0;Institution nationale des invalides : subventions;25 463 387;26 267 856;25 463 387;26 267 856
Conseil et contrôle de l'État;165;2;Fonction juridictionnelle : Cours administratives d'appel;0;Institution nationale des invalides : subventions;49 388 216;49 861 380;49 388 216;49 861 380
Conseil et contrôle de l'État;165;3;Fonction juridictionnelle : Tribunaux administratifs;0;Institution nationale des invalides : subventions;148 236 201;153 497 512;148 236 201;153 497 512
Conseil et contrôle de l'État;165;4;Fonction consultative;0;Institution nationale des invalides : subventions;10 821 500;11 174 213;10 821 500;11 174 213
Conseil et contrôle de l'État;165;5;Fonction études, expertise et services rendus aux administrations de l'État et des collectivités;0;Institution nationale des invalides : subventions;16 037 582;16 094 949;16 037 582;16 094 949
Conseil et contrôle de l'État;165;6;Soutien;0;Institution nationale des invalides : subventions;114 359 806;107 691 343;102 909 806;103 573 505
Conseil et contrôle de l'État;165;7;Cour nationale du droit d'asile;0;Institution nationale des invalides : subventions;22 219 329;22 865 727;22 219 329;22 865 727
Conseil et contrôle de l'État;340;1;Haut Conseil des finances publiques;0;Institution nationale des invalides : subventions;818 675;816 546;818 675;816 546
Culture;131;1;Soutien à la création, à la production et à la diffusion du spectacle vivant;0;Institution nationale des invalides : subventions;664 858 970;657 079 626;683 729 404;667 882 452
Culture;131;2;Soutien à la création, à la production et à la diffusion des arts plastiques;0;Institution nationale des invalides : subventions;61 657 273;60 654 297;63 465 833;66 379 106
Culture;175;1;Patrimoine monumental;0;Institution nationale des invalides : subventions;345 234 450;340 367 541;332 233 123;327 853 214
Culture;175;2;Architecture;0;Institution nationale des invalides : subventions;27 750 912;27 763 666;27 850 912;27 863 666
Culture;175;3;Patrimoine des musées de France;0;Institution nationale des invalides : subventions;336 698 512;331 111 072;339 599 408;339 534 402
Culture;175;4;Patrimoine archivistique et célébrations nationales;0;Institution nationale des invalides : subventions;23 537 512;23 784 753;27 123 638;24 769 753
Culture;175;7;Patrimoine linguistique;0;Institution nationale des invalides : subventions;2 620 333;2 911 333;2 620 333;2 911 333
Culture;175;8;Acquisition et enrichissement des collections publiques;0;Institution nationale des invalides : subventions;8 355 013;8 353 013;8 355 013;8 353 013
Culture;175;9;Patrimoine archéologique;0;Institution nationale des invalides : subventions;16 881 872;11 281 849;8 778 500;19 725 906
Culture;224;1;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;0;Institution nationale des invalides : subventions;239 061 564;254 026 659;248 941 564;264 763 561
Culture;224;2;Soutien à la démocratisation et à l'éducation artistique et culturelle;0;Institution nationale des invalides : subventions;85 779 738;81 513 267;85 779 738;81 513 267
Culture;224;6;Action culturelle internationale;0;Institution nationale des invalides : subventions;6 114 559;5 992 059;6 114 559;5 992 059
Culture;224;7;Fonctions de soutien du ministère;0;Institution nationale des invalides : subventions;741 697 368;749 370 826;739 958 860;747 680 239
Défense;144;3;Recherche et exploitation du renseignement intéressant la sécurité de la France;0;Institution nationale des invalides : subventions;681 285 081;280 658 903;743 321 353;268 440 274
Défense;144;3;Recherche et exploitation du renseignement intéressant la sécurité de la France;31;Renseignement extérieur;588 154 421;269 964 991;650 190 694;257 746 362
Défense;144;3;Recherche et exploitation du renseignement intéressant la sécurité de la France;32;Renseignement de sécurité de défense;93 130 660;10 693 912;93 130 659;10 693 912
Défense;144;7;Prospective de défense;0;Renseignement de sécurité de défense;1 179 463 369;1 034 024 131;1 117 307 054;1 030 024 131
Défense;144;7;Prospective de défense;1;Analyse stratégique;6 107 599;6 118 465;6 920 603;6 118 465
Défense;144;7;Prospective de défense;2;Prospective des systèmes de forces;33 329 888;20 807 820;33 240 436;20 807 820
Défense;144;7;Prospective de défense;3;Etudes amont;807 866 830;742 910 675;744 986 963;738 910 675
Défense;144;7;Prospective de défense;4;Gestion des moyens et subventions;332 159 052;264 187 171;332 159 052;264 187 171
Défense;144;8;Relations internationales et diplomatie de défense;0;Gestion des moyens et subventions;116 306 622;35 407 736;116 305 561;35 407 736
Défense;146;6;Dissuasion;0;Gestion des moyens et subventions;2 415 487 104;2 962 829 523;1 900 743 819;2 587 399 774
Défense;146;6;Dissuasion;14;Assurer la crédibilité technique de la dissuasion M51;498 415 865;411 011 046;530 372 026;610 913 670
Défense;146;6;Dissuasion;15;Assurer la crédibilité technique de la dissuasion SNLE NG : adaptation M51;0;0;180 357 579;190 919 706
Défense;146;6;Dissuasion;17;Assurer la crédibilité technique de la dissuasion - Air sol moyenne portée amélioré (ASMPA);34 300 000;16 264 796;10 854 695;26 582 615
Défense;146;6;Dissuasion;18;Assurer la crédibilité technique de la dissuasion Simulation;561 990 984;479 946 802;50 000 000;505 336 200
Défense;146;6;Dissuasion;19;Assurer la crédibilité technique de la dissuasion - Autres opérations;653 297 316;526 972 365;313 453 327;569 996 729
Défense;146;6;Dissuasion;22;Assurer la crédibilité opérationnelle de la dissuasion - soutien et mise en oeuvre des forces - toutes opérations;259 150 519;1 097 459 785;626 446 820;636 145 954
