Gestion;2016;;;;;;;;;;;;;;;;;;;;
Type Budget;Budget général;;;;;;;;;;;;;;;;;;;;
;;;;;;Données;;;;;;;;;;;;;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2015;AEPLF;AEAMT;AELF; CPLF 2015; CPPLF;CPAMT;CPLF;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;03;Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer);0;;421 896 287;374 236 703;0;374 236 703;421 896 287;374 236 703;0;374 236 703;;;;;;;;
Agriculture, alimentation, forêt et affaires rurales;215;04;Moyens communs;0;;70 602 768;68 786 368;0;68 786 368;73 382 846;68 007 512;0;68 007 512;;;;;;;;
Aide publique au développement;110;01;Aide économique et financière multilatérale;0;;286 704 541;76 240 000;0;76 240 000;635 398 901;597 868 439;0;597 868 439;;;;;;;;
Aide publique au développement;110;02;Aide économique et financière bilatérale;0;;400 338 969;332 935 000;0;332 935 000;283 833 140;284 659 914;0;284 659 914;;;;;;;;
Aide publique au développement;110;03;Traitement de la dette des pays pauvres;0;;0;0;0;0;107 346 928;105 450 616;0;105 450 616;;;;;;;;
Aide publique au développement;209;02;Coopération bilatérale;0;;639 167 833;534 008 201;0;534 008 201;611 992 493;503 832 861;0;503 832 861;;;;;;;;
Aide publique au développement;209;05;Coopération multilatérale;0;;248 516 060;227 036 041;0;227 036 041;254 017 947;232 537 928;0;232 537 928;;;;;;;;
Aide publique au développement;209;07;Coopération communautaire;0;;703 800 000;700 800 000;0;700 800 000;703 800 000;700 800 000;0;700 800 000;;;;;;;;
Aide publique au développement;209;08;"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";0;;201 792 732;195 521 699;0;195 521 699;201 792 732;195 521 699;0;195 521 699;;;;;;;;
Aide publique au développement;209;09;Actions de co-développement;0;;170 000;0;0;0;170 000;0;0;0;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;158;01;Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation;0;;45 746 919;46 171 278;0;46 171 278;46 051 419;46 469 528;0;46 469 528;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;158;02;Indemnisation des victimes d'actes de barbarie durant la seconde guerre mondiale;0;;54 504 130;54 583 620;0;54 583 620;54 504 130;54 583 620;0;54 583 620;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;167;01;Journée défense et citoyenneté;0;;29 786 000;15 099 200;0;15 099 200;19 060 000;15 299 200;0;15 299 200;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;167;02;Politique de mémoire;0;;23 397 843;22 200 000;0;22 200 000;23 397 843;22 200 000;0;22 200 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;01;Administration de  la dette viagère;0;;2 080 250 000;1 946 320 000;0;1 946 320 000;2 080 250 000;1 946 320 000;0;1 946 320 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;01;Administration de  la dette viagère;10;Pensions militaires d'invalidité de victimes de guerre et allocations rattachées;1 295 550 000;1 189 720 000;0;1 189 720 000;1 295 550 000;1 189 720 000;0;1 189 720 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;01;Administration de  la dette viagère;11;Retraite du combattant;784 700 000;756 600 000;0;756 600 000;784 700 000;756 600 000;0;756 600 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;02;Gestion  des droits liés aux pensions militaires d'invalidité;0;Retraite du combattant;146 374 830;153 050 000;0;153 050 000;146 374 830;153 050 000;0;153 050 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;02;Gestion  des droits liés aux pensions militaires d'invalidité;21;Soins médicaux gratuits et appareillage des mutilés;48 300 000;56 250 000;0;56 250 000;48 300 000;56 250 000;0;56 250 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;02;Gestion  des droits liés aux pensions militaires d'invalidité;22;Remboursement des réductions de transport accordées aux invalides;3 474 830;3 300 000;0;3 300 000;3 474 830;3 300 000;0;3 300 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;02;Gestion  des droits liés aux pensions militaires d'invalidité;23;Remboursement des prestations de sécurité sociale aux invalides;94 600 000;93 500 000;0;93 500 000;94 600 000;93 500 000;0;93 500 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;0;Remboursement des prestations de sécurité sociale aux invalides;352 140 201;356 708 357;0;356 708 357;352 140 201;356 708 357;0;356 708 357;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;30;Fonds de solidarité pour les anciens combattants d'Afrique du Nord et d'Indochine;0;0;0;0;0;0;0;0;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;31;Majoration des rentes mutualistes des anciens combattants et victimes de guerre;258 300 000;261 700 000;0;261 700 000;258 300 000;261 700 000;0;261 700 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;32;Subventions aux associations et oeuvres diverses;537 476;260 000;0;260 000;537 476;260 000;0;260 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;33;Indemnités, pécules et frais de voyages sur les tombes;110 000;110 000;0;110 000;110 000;110 000;0;110 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;34;Action sociale en faveur du monde combattant : Office national des anciens combattants (ONAC);23 400 000;25 400 000;0;25 400 000;23 400 000;25 400 000;0;25 400 000;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;35;Office national des anciens combattants (ONAC) : subventions;57 703 582;57 149 214;0;57 149 214;57 703 582;57 149 214;0;57 149 214;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;03;Solidarité;36;Institution nationale des invalides : subventions;12 089 143;12 089 143;0;12 089 143;12 089 143;12 089 143;0;12 089 143;;;;;;;;
Anciens combattants, mémoire et liens avec la nation;169;07;Actions en faveur des rapatriés;0;Institution nationale des invalides : subventions;19 401 000;17 500 000;0;17 500 000;19 401 000;17 500 000;0;17 500 000;;;;;;;;
Conseil et contrôle de l'État;126;01;Représentation des activités économiques et sociales;0;Institution nationale des invalides : subventions;26 073 633;26 180 745;0;26 180 745;26 073 633;26 180 745;0;26 180 745;;;;;;;;
Conseil et contrôle de l'État;126;02;Fonctionnement de l'institution;0;Institution nationale des invalides : subventions;9 605 691;11 932 019;0;11 932 019;9 610 691;10 682 019;0;10 682 019;;;;;;;;
Conseil et contrôle de l'État;126;03;Communication et international;0;Institution nationale des invalides : subventions;2 612 756;1 274 315;0;1 274 315;2 612 756;1 274 315;0;1 274 315;;;;;;;;
Conseil et contrôle de l'État;164;21;Examen des comptes publics;0;Institution nationale des invalides : subventions;39 667 618;40 228 901;0;40 228 901;39 667 618;40 228 901;0;40 228 901;;;;;;;;
Conseil et contrôle de l'État;164;22;Contrôle des finances publiques;0;Institution nationale des invalides : subventions;15 783 300;15 853 459;0;15 853 459;15 783 300;15 853 459;0;15 853 459;;;;;;;;
Conseil et contrôle de l'État;164;23;Contrôle des gestions publiques;0;Institution nationale des invalides : subventions;59 348 903;59 869 560;0;59 869 560;59 348 903;59 869 560;0;59 869 560;;;;;;;;
Conseil et contrôle de l'État;164;24;Evaluation des politiques publiques;0;Institution nationale des invalides : subventions;34 566 324;34 642 171;0;34 642 171;34 566 324;34 642 171;0;34 642 171;;;;;;;;
Conseil et contrôle de l'État;164;25;Information des citoyens;0;Institution nationale des invalides : subventions;7 167 614;7 104 771;0;7 104 771;7 167 614;7 104 771;0;7 104 771;;;;;;;;
Conseil et contrôle de l'État;164;26;Mise en jeu de la responsabilité des comptables publics et des gestionnaires publics;0;Institution nationale des invalides : subventions;4 669 182;4 646 626;0;4 646 626;4 669 182;4 646 626;0;4 646 626;;;;;;;;
Conseil et contrôle de l'État;164;27;Pilotage et soutien des juridictions financières;0;Institution nationale des invalides : subventions;51 545 953;54 358 720;0;54 358 720;52 875 953;51 180 707;0;51 180 707;;;;;;;;
Conseil et contrôle de l'État;165;01;Fonction juridictionnelle : Conseil d'État;0;Institution nationale des invalides : subventions;26 267 856;26 449 141;0;26 449 141;26 267 856;26 449 141;0;26 449 141;;;;;;;;
Conseil et contrôle de l'État;165;02;Fonction juridictionnelle : Cours administratives d'appel;0;Institution nationale des invalides : subventions;49 861 380;50 205 494;0;50 205 494;49 861 380;50 205 494;0;50 205 494;;;;;;;;
Conseil et contrôle de l'État;165;03;Fonction juridictionnelle : Tribunaux administratifs;0;Institution nationale des invalides : subventions;153 497 512;156 786 883;0;156 786 883;153 497 512;156 786 883;0;156 786 883;;;;;;;;
Conseil et contrôle de l'État;165;04;Fonction consultative;0;Institution nationale des invalides : subventions;11 174 213;11 251 331;0;11 251 331;11 174 213;11 251 331;0;11 251 331;;;;;;;;
Conseil et contrôle de l'État;165;05;Fonction études, expertise et services rendus aux administrations de l'État et des collectivités;0;Institution nationale des invalides : subventions;16 094 949;16 206 027;0;16 206 027;16 094 949;16 206 027;0;16 206 027;;;;;;;;
