Phase;Type de mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;AE PLF 2019;CP PLF 2019;Code Ministère;Ministère
PLF 2019;Budget général;Agriculture, alimentation, forêt et affaires rurales;215;Conduite et pilotage des politiques de l'agriculture;3;Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer);;;346 010 610;346 010 610;3;Agriculture et alimentation
PLF 2019;Budget général;Agriculture, alimentation, forêt et affaires rurales;215;Conduite et pilotage des politiques de l'agriculture;4;Moyens communs;;;68 517 814;69 879 015;3;Agriculture et alimentation
PLF 2019;Budget général;Aide publique au développement;110;Aide économique et financière au développement;1;Aide économique et financière multilatérale;;;71 515 000;648 391 535;21;Économie et finances
PLF 2019;Budget général;Aide publique au développement;110;Aide économique et financière au développement;2;Aide économique et financière bilatérale;;;1 238 530 000;338 594 551;21;Économie et finances
PLF 2019;Budget général;Aide publique au développement;110;Aide économique et financière au développement;3;Traitement de la dette des pays pauvres;;;0;92 046 353;21;Économie et finances
PLF 2019;Budget général;Aide publique au développement;209;Solidarité à l'égard des pays en développement;2;Coopération bilatérale;;;1 989 773 453;793 450 441;1;Europe et affaires étrangères
PLF 2019;Budget général;Aide publique au développement;209;Solidarité à l'égard des pays en développement;5;Coopération multilatérale;;;188 395 739;194 109 000;1;Europe et affaires étrangères
PLF 2019;Budget général;Aide publique au développement;209;Solidarité à l'égard des pays en développement;7;Coopération communautaire;;;878 033 740;878 033 740;1;Europe et affaires étrangères
PLF 2019;Budget général;Aide publique au développement;209;Solidarité à l'égard des pays en développement;8;"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";;;153 150 588;153 150 588;1;Europe et affaires étrangères
PLF 2019;Budget général;Aide publique au développement;209;Solidarité à l'égard des pays en développement;9;Actions de co-développement;;;;;1;Europe et affaires étrangères
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;167;Liens entre la Nation et son armée;1;Liens armées-jeunesse;;;17 792 623;17 789 899;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;167;Liens entre la Nation et son armée;2;Politique de mémoire;;;16 020 000;16 020 000;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;1;Administration de  la dette viagère;10;Pensions militaires d'invalidité de victimes de guerre et allocations rattachées;965 300 000;965 300 000;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;1;Administration de  la dette viagère;11;Retraite du combattant;708 500 000;708 500 000;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;2;Gestion  des droits liés aux pensions militaires d'invalidité;21;Soins médicaux gratuits et appareillage des mutilés;50 500 000;50 500 000;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;2;Gestion  des droits liés aux pensions militaires d'invalidité;22;Remboursement des réductions de transport accordées aux invalides;2 200 000;2 200 000;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;2;Gestion  des droits liés aux pensions militaires d'invalidité;23;Remboursement des prestations de sécurité sociale aux invalides;76 900 000;76 900 000;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;3;Solidarité;30;Fonds de solidarité pour les anciens combattants d'Afrique du Nord et d'Indochine;;;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;3;Solidarité;31;Majoration des rentes mutualistes des anciens combattants et victimes de guerre;234 700 000;234 700 000;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;3;Solidarité;32;Subventions aux associations et oeuvres diverses;310 000;310 000;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;3;Solidarité;33;Indemnités, pécules et frais de voyages sur les tombes;;;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;3;Solidarité;34;Action sociale en faveur du monde combattant : Office national des anciens combattants (ONAC);26 400 000;26 400 000;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;3;Solidarité;35;Office national des anciens combattants (ONAC) : subventions;57 627 168;57 627 168;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;3;Solidarité;36;Institution nationale des invalides : subventions;47 089 143;14 789 143;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;3;Solidarité;37;Conseil national des communes compagnons de la libération - Subventions;1 710 000;1 710 000;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;7;Actions en faveur des rapatriés;;;23 224 181;23 224 181;70;Armées
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;158;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;1;Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation;;;53 468 605;53 468 605;12;Services du Premier ministre
PLF 2019;Budget général;Anciens combattants, mémoire et liens avec la nation;158;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;2;Indemnisation des victimes d'actes de barbarie durant la seconde guerre mondiale;;;52 439 897;52 439 897;12;Services du Premier ministre
PLF 2019;Budget général;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;11;Prévention de l'exclusion;;;49 361 191;49 361 191;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;12;Hébergement et logement adapté;;;1 801 569 457;1 819 669 457;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;14;Conduite et animation des politiques de l'hébergement et de l'inclusion sociale;;;9 132 657;9 132 657;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;109;Aide à l'accès au logement;1;Aides personnelles;;;13 096 634 317;13 096 634 317;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;109;Aide à l'accès au logement;2;Information relative au logement et accompagnement des publics en difficulté;;;8 317 400;8 317 400;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;109;Aide à l'accès au logement;3;Sécurisation des risques locatifs;;;5 100 000;5 100 000;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;1;Construction locative et amélioration du parc;;;10 800 000;10 800 000;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;2;Soutien à l'accession à la propriété;;;3 994 162;3 994 162;45;Cohésion des territoires
