GESTION;2018;;;;;;;;
TYPE BUDGET;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2017;AEPLF; CPLF 2017; CPPLF
Cohésion des territoires;177;11;Prévention de l'exclusion;;;62 061 191;50 445 224;62 061 191;50 445 224
Cohésion des territoires;177;12;Hébergement et logement adapté;;;1 669 285 619;1 894 189 982;1 669 285 619;1 894 189 982
Cohésion des territoires;177;14;Conduite et animation des politiques de l'hébergement et de l'inclusion sociale;;;10 332 657;9 058 657;10 332 657;9 058 657
Conseil et contrôle de l'État;126;01;Représentation des activités économiques et sociales;;;27 587 857;26 746 048;27 587 857;26 746 048
Conseil et contrôle de l'État;126;02;Fonctionnement de l'institution;;;11 387 040;11 645 295;10 737 040;11 645 295
Conseil et contrôle de l'État;126;03;Communication et international;;;1 233 340;1 656 165;1 233 340;1 656 165
Conseil et contrôle de l'État;164;21;Examen des comptes publics;;;40 224 089;40 884 022;40 224 089;40 884 022
Conseil et contrôle de l'État;164;22;Contrôle des finances publiques;;;15 865 322;16 190 272;15 865 322;16 190 272
Conseil et contrôle de l'État;164;23;Contrôle des gestions publiques;;;60 267 901;61 293 462;60 267 901;61 293 462
Conseil et contrôle de l'État;164;24;Evaluation des politiques publiques;;;34 806 796;35 365 556;34 806 796;35 365 556
Conseil et contrôle de l'État;164;25;Information des citoyens;;;7 112 549;7 373 072;7 112 549;7 373 072
Conseil et contrôle de l'État;164;26;Mise en jeu de la responsabilité des comptables publics et des gestionnaires publics;;;4 675 399;4 821 477;4 675 399;4 821 477
Conseil et contrôle de l'État;164;27;Pilotage et soutien des juridictions financières;;;56 344 946;52 902 346;51 154 946;51 444 346
Conseil et contrôle de l'État;165;01;Fonction juridictionnelle : Conseil d'État;;;27 516 687;27 819 707;27 516 687;27 819 707
Conseil et contrôle de l'État;165;02;Fonction juridictionnelle : Cours administratives d'appel;;;50 889 189;51 449 592;50 889 189;51 449 592
Conseil et contrôle de l'État;165;03;Fonction juridictionnelle : Tribunaux administratifs;;;159 544 086;161 736 303;159 544 086;161 736 303
Conseil et contrôle de l'État;165;04;Fonction consultative;;;11 404 551;11 530 140;11 404 551;11 530 140
