Type de mission;Code type de mission;Mission;Code mission;Programme;Code programme;Action;Code action;Autorisations d'engagement;Crédits de paiement
Budget général;BG;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres;2;663 090 232;663 090 232
Budget général;BG;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Contrôle de légalité et conseil aux collectivités territoriales;3;153 361 297;153 361 297
Budget général;BG;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Pilotage territorial des politiques gouvernementales;4;514 086 258;514 089 398
Budget général;BG;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Animation et soutien du réseau;5;153 729 260;154 028 148
Budget général;BG;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Financement des partis;1;68 670 672;68 670 672
Budget général;BG;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Organisation des élections;2;129 518 993;128 018 993
Budget général;BG;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Commission nationale des comptes de campagne et des financements politiques;3;6 383 962;7 483 962
Budget général;BG;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Cultes;4;2 757 037;2 777 037
Budget général;BG;Administration générale et territoriale de l'État;AB;Vie politique, cultuelle et associative;232;Vie associative;5;160 000;160 000
Budget général;BG;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;État-major et services centraux;1;391 274 553;390 677 501
Budget général;BG;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Système d'information et de communication;3;101 640 418;90 285 104
Budget général;BG;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Action sociale et formation;4;40 192 600;40 192 600
Budget général;BG;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Affaires immobilières;5;72 471 363;137 084 694
Budget général;BG;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Affaires juridiques et contentieuses;6;80 000 000;80 000 000
Budget général;BG;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Immigration, asile et intégration;8;41 076 644;41 076 644
Budget général;BG;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Sécurité et éducation routières;9;126 338 542;126 338 542
Budget général;BG;Administration générale et territoriale de l'État;AB;Conduite et pilotage des politiques de l'intérieur;216;Fonds interministériel de prévention de la délinquance;10;70 398 869;70 398 869
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;149;Adaptation des filières à l'évolution des marchés;21;222 820 000;223 220 000
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;149;Gestion des crises et des aléas de la production agricole;22;5 374 381;5 374 381
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;149;Appui au renouvellement et à la modernisation des exploitations agricoles;23;124 197 183;157 058 460
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;149;Gestion équilibrée et durable des territoires;24;399 021 554;440 040 720
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;149;Protection sociale;25;59 892 865;59 892 865
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;149;Gestion durable de la forêt et développement de la filière bois;26;246 794 253;254 725 628
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;149;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;27;500 978 831;500 978 831
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;149;Pêche et aquaculture;28;49 699 320;49 708 889
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Prévention et gestion des risques inhérents à la production végétale;1;31 286 317;31 131 340
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Lutte contre les maladies animales et protection des animaux;2;85 955 794;84 405 816
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Prévention et gestion des risques sanitaires liés aux denrées alimentaires;3;21 314 300;21 291 255
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Actions transversales;4;81 334 067;82 163 067
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Elimination des cadavres et des sous-produits animaux;5;3 800 000;3 800 000
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation;6;310 253 606;310 253 606
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Sécurité et qualité sanitaires de l'alimentation;206;Qualité de l'alimentation et offre alimentaire;8;3 711 500;3 710 500
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Conduite et pilotage des politiques de l'agriculture;215;Moyens de l'administration centrale;1;186 005 875;192 369 023
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Conduite et pilotage des politiques de l'agriculture;215;Évaluation de l'impact des politiques publiques et information économique;2;17 801 004;17 801 004
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Conduite et pilotage des politiques de l'agriculture;215;Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer);3;346 010 610;346 010 610
Budget général;BG;Agriculture, alimentation, forêt et affaires rurales;AC;Conduite et pilotage des politiques de l'agriculture;215;Moyens communs;4;68 517 814;69 879 015
Budget général;BG;Aide publique au développement;AD;Aide économique et financière au développement;110;Aide économique et financière multilatérale;1;71 515 000;648 391 535
Budget général;BG;Aide publique au développement;AD;Aide économique et financière au développement;110;Aide économique et financière bilatérale;2;1 238 530 000;338 594 551
Budget général;BG;Aide publique au développement;AD;Aide économique et financière au développement;110;Traitement de la dette des pays pauvres;3;0;92 046 353
Budget général;BG;Aide publique au développement;AD;Solidarité à l'égard des pays en développement;209;Coopération bilatérale;2;1 989 773 453;793 450 441
Budget général;BG;Aide publique au développement;AD;Solidarité à l'égard des pays en développement;209;Coopération multilatérale;5;188 395 739;194 109 000
Budget général;BG;Aide publique au développement;AD;Solidarité à l'égard des pays en développement;209;Coopération communautaire;7;878 033 740;878 033 740
Budget général;BG;Aide publique au développement;AD;Solidarité à l'égard des pays en développement;209;Dépenses de personnels concourant au programme "Solidarité à l'égard des pays en développement";8;153 150 588;153 150 588
Budget général;BG;Aide publique au développement;AD;Solidarité à l'égard des pays en développement;209;Actions de co-développement;9;;
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Liens entre la Nation et son armée;167;Liens armées-jeunesse;1;17 792 623;17 789 899
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Liens entre la Nation et son armée;167;Politique de mémoire;2;16 020 000;16 020 000
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Administration de  la dette viagère;1;965 300 000;965 300 000
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Administration de  la dette viagère;1;708 500 000;708 500 000
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Gestion  des droits liés aux pensions militaires d'invalidité;2;50 500 000;50 500 000
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Gestion  des droits liés aux pensions militaires d'invalidité;2;2 200 000;2 200 000
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Gestion  des droits liés aux pensions militaires d'invalidité;2;76 900 000;76 900 000
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;;
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;234 700 000;234 700 000
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;310 000;310 000
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;;
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;26 400 000;26 400 000
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;57 627 168;57 627 168
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;47 089 143;14 789 143
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Solidarité;3;1 710 000;1 710 000
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Reconnaissance et réparation en faveur du monde combattant;169;Actions en faveur des rapatriés;7;23 224 181;23 224 181
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;158;Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation;1;53 468 605;53 468 605
Budget général;BG;Anciens combattants, mémoire et liens avec la nation;MB;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;158;Indemnisation des victimes d'actes de barbarie durant la seconde guerre mondiale;2;52 439 897;52 439 897
