Type de mission;Code type de mission;Mission;Code mission;Programme;Code programme;Action;Code action;Sous-action;Code sous-action;Autorisations d'engagement;Crédits de paiement
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Planification  des moyens et conduite des opérations;1;Systèmes d'information et de communication;14;177865064;187220652
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces terrestres;2;Commandement et activités des forces terrestres;1;177354016;174834089
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces terrestres;2;Ressources humaines des forces terrestres;5;79956006;78382598
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces terrestres;2;Maintien en condition opérationnelle du matériel des forces terrestres;7;919772067;776371499
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces terrestres;2;Environnement opérationnel des forces terrestres;8;158196240;196761020
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces navales;3;Commandement et activités des forces navales;1;260998295;305474124
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces navales;3;Ressources humaines des forces navales;5;43628588;42636378
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces navales;3;Maintien en condition opérationnelle du matériel des forces navales;7;1510913729;1585332909
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces navales;3;Environnement opérationnel des forces navales;8;67757794;66363530
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces aériennes;4;Commandement et activités centralisées des forces aériennes;2;7405740;7040660
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces aériennes;4;Activités des forces aériennes;3;259496788;258241106
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces aériennes;4;Activités des forces aériennes stratégiques;4;147833139;145418859
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces aériennes;4;Ressources humaines des forces aériennes;5;75803759;75368235
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces aériennes;4;Entretien et équipements des forces aériennes;6;2466801264;1490343939
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Préparation des forces aériennes;4;Service industriel aéronautique (SIAé);9;0;0
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Logistique et soutien interarmées;5;Fonction santé;80;221768951;120358703
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Logistique et soutien interarmées;5;Soutien des forces par les bases de défense;82;621691444;647462759
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Logistique et soutien interarmées;5;Soutiens complémentaires;83;140097818;146468449
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Logistique et soutien interarmées;5;Service interarmées des munitions;84;14984704;14690886
Budget général;1;Défense;DA;Préparation et emploi des forces;178;Logistique et soutien interarmées;5;Service du commissariat aux armées;85;436045724;400853102
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Politiques des ressources humaines;6;Reconversion;3;36472386;36472386
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Politiques des ressources humaines;6;Action sociale et autres politiques de ressources humaines (hors rémunérations des agents);4;105347317;105347317
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Politique culturelle et éducative;8;Actions culturelles et mise en valeur du patrimoine;1;22234138;22234138
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Politique culturelle et éducative;8;Gestion et communication des archives historiques de la défense;2;3470251;3723918
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme "Environnement et prospective de la politique de défense";50;Renseignement extérieur;1;426629485;426629485
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme "Environnement et prospective de la politique de défense";50;Renseignement de sécurité et de défense;2;105547900;105547900
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Prospective de défense - Personnel travaillant  pour le programme "Environnement et prospective de la politique de défense";51;DGRIS / Administration  centrale;1;25702225;25702225
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Relations internationales;52;DGA / Soutien aux exportations;1;7764526;7764526
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Relations internationales;52;DGRIS / Diplomatie de défense;2;78675589;78675589
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Préparation et conduite des opérations d'armement - Personnel travaillant  pour le programme  "Équipement des forces ";53;Soutien aux opérations d'armement;1;1899094275;1899094275
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme "Préparation et emploi des forces";54;Commandement des armées;1;101650374;101650374
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme "Préparation et emploi des forces";54;Organismes interarmées à vocation opérationnelle;2;228098384;228098384
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme "Préparation et emploi des forces";54;Organismes interarmées à vocation prospective et maitrise des armements;3;33663496;33663496
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme "Préparation et emploi des forces";54;Enseignement interarmées;4;55098392;55098392
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme "Préparation et emploi des forces";54;EMA / Relations internationales militaires / PPE;5;148383549;148383549
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme "Préparation et emploi des forces";54;Renseignement d'intérêt militaire;6;147148640;147148640
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme "Préparation et emploi des forces";54;Systèmes d'information et de communication;7;503145685;503145685
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Préparation des forces terrestres - Personnel travaillant pour le programme "Préparation et emploi des forces";55;Ressources humaines des forces terrestres;1;6866799415;6866799415
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Préparation des forces navales - Personnel travaillant pour le programme "Préparation et emploi des forces";56;Ressources humaines des forces navales;1;2416844649;2416844649
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Préparation des forces navales - Personnel travaillant pour le programme "Préparation et emploi des forces";56;Rémunérations des ouvriers de l'Etat de la DCNS;2;0;0
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Préparation des forces aériennes- Personnel travaillant pour le programme "Préparation et emploi des forces";57;Ressources humaines des forces aériennes;1;2555533552;2555533552
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Préparation des forces aériennes- Personnel travaillant pour le programme "Préparation et emploi des forces";57;Service industriel aéronautique(SIAé);2;0;0
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Logistique et soutien interarmées - Personnel travaillant pour le programme "Préparation et emploi des forces";58;Fonction pétrolière;1;130990575;130990575
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Logistique et soutien interarmées - Personnel travaillant pour le programme "Préparation et emploi des forces";58;Logistique et soutien interarmées / CICoS;2;38918689;38918689
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Logistique et soutien interarmées - Personnel travaillant pour le programme "Préparation et emploi des forces";58;Soutiens complémentaires;3;63434;63434
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Logistique et soutien interarmées - Personnel travaillant pour le programme "Préparation et emploi des forces";58;Service interarmées des munitions;4;81241988;81241988
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Logistique et soutien interarmées - Personnel travaillant pour le programme "Préparation et emploi des forces";58;Service du commissariat des armées;5;1413877112;1413877112
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Logistique et soutien interarmées - Personnel travaillant pour le programme "Préparation et emploi des forces";58;Fonction santé;6;774079081;774079081
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Surcoûts liés aux opérations - Personnel travaillant pour le programme "Préparation et emploi des forces";59;Surcoûts liés aux opérations extérieures;1;170000000;170000000
