Année RAP;Type de Budget (Hors Budgets annexes);Code Ministère au 1er janvier 2017;Ministère au 1er janvier 2017;Code Programme;Programme;Code Action;Action;T1 EXEC CP 2017;T2 EXEC CP 2017;T3 EXEC CP 2017;T4 EXEC CP 2017;T5 EXEC CP 2017;T6 EXEC CP 2017;T7 EXEC CP 2017
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;793;Électrification rurale;06;Sécurisation des fils nus (hors faible section);;;;;;44 984 995;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;793;Électrification rurale;07;Sécurisation des fils nus de faible section;;;;;;43 897 770;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;793;Électrification rurale;08;Fonctionnement;;;1 067 813;;;;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;793;Électrification rurale;09;Déclaration d'utilité publique (Très haute tension);;;;;;496 485;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;793;Électrification rurale;10;Intempéries;;;;;;2 000 222;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;794;Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées, déclarations d’utilité publique et intempéries;02;Sites isolés;;;;;;171 496;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;794;Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées, déclarations d’utilité publique et intempéries;03;Installations de proximité en zone non interconnectée;;;;;;677 520;
2017;Comptes d'affectation spéciale;MIN23;Environnement, énergie et mer;794;Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées, déclarations d’utilité publique et intempéries;04;Maîtrise de la demande d'énergie;;;;;;67 813;
2017;Comptes d'affectation spéciale;MIN36;Travail, emploi, formation professionnelle et dialogue social;787;Répartition régionale de la ressource consacrée au développement de l'apprentissage;03;Répartition régionale de la ressource consacrée au développement de l'apprentissage;;;;;;1 393 550 853;
2017;Comptes d'affectation spéciale;MIN36;Travail, emploi, formation professionnelle et dialogue social;790;Correction financière des disparités régionales de taxe d'apprentissage et incitations au développement de l'apprentissage;01;Correction financière des disparités régionales de taxe d'apprentissage et incitations au développement de l'apprentissage;;;;;;241 484 105;
